lat,lon,date,rainfall_24,slope,drainage,vegetation,disruption,district,state,location_name,elevation_m
26.4603,90.6464,2021-06-01,20.0,1.4,1.82,0.53,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
27.483333,94.583333,2021-06-01,55.1,3.06,2.41,0.56,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
27.4728,94.912,2021-06-01,32.9,1.4,1.96,0.56,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.984,94.637,2021-06-01,37.2,1.17,1.86,0.56,1,Sivasagar,Assam,Sivasagar/Sibsagar district reference,100.0
26.30795,90.9971,2021-08-25,118.0,1.17,2.05,0.58,1,Barpeta,Assam,Barpeta district reference point,100.0
26.72464,93.14531,2021-08-25,97.4,3.32,1.7,0.65,1,Biswanath,Assam,Biswanath district reference point,100.0
26.4603,90.6464,2021-08-25,124.9,1.23,1.58,0.6,1,Bongaigaon,Assam,Bongaigaon district reference point,100.0
26.525265,90.490662,2021-08-25,105.2,3.71,1.74,0.68,1,Chirang,Assam,Chirang district reference point,100.0
26.51195,92.16843,2021-08-25,114.7,1.17,1.82,0.58,1,Darrang,Assam,Darrang district reference point,100.0
27.483333,94.583333,2021-08-25,138.4,2.81,2.27,0.6,1,Dhemaji,Assam,Dhemaji district headquarters,100.0
26.067486,90.022375,2021-08-25,90.2,0.87,2.48,0.5,1,Dhubri,Assam,Dhubri district reference point,100.0
27.4728,94.912,2021-08-25,124.2,1.4,1.99,0.58,1,Dibrugarh,Assam,Dibrugarh district headquarters,100.0
26.16667,90.61667,2021-08-25,71.5,1.67,1.97,0.55,1,Goalpara,Assam,Goalpara town/district reference,100.0
26.4092,93.91193,2021-08-25,120.7,1.7,1.87,0.6,1,Golaghat,Assam,Golaghat district reference point,100.0
26.8,94.26,2021-08-25,101.3,1.03,1.89,0.54,1,Jorhat,Assam,Jorhat district reference point,100.0
26.184907,91.6786,2021-08-25,101.3,1.54,1.69,0.53,1,Kamrup,Assam,"Amingaon, Kamrup district headquarters area",100.0
26.053749,92.007631,2021-08-25,120.7,2.71,1.53,0.5,1,Kamrup Metro,Assam,Kamrup Metropolitan district reference point,100.0
