lat,lon,date,rainfall_24,slope,drainage,vegetation,disruption,district,state,location_name,elevation_m
26.1445,91.7362,2026-08-24,11.8,0.26,2.15,0.67,0,Kamrup Metro,Assam,Guwahati (NH-27 Junction),50.0
24.8333,92.7789,2026-08-24,30.2,0.28,1.39,0.68,0,Cachar,Assam,Silchar (Barak Valley Gateway),23.0
27.4833,94.5833,2026-08-24,10.2,0.63,2.0,0.67,0,Dhemaji,Assam,Dhemaji (Brahmaputra Flood Zone),107.0
27.4728,94.912,2026-08-24,12.3,0.63,2.0,0.62,0,Dibrugarh,Assam,Dibrugarh (Upper Assam Hub),109.0
26.8,94.26,2026-08-24,12.4,0.39,2.17,0.52,0,Jorhat,Assam,Jorhat (Majuli Gateway),90.0
26.3079,90.9971,2026-08-24,9.7,0.51,2.36,0.59,0,Barpeta,Assam,Barpeta (Lower Assam Flood Corridor),40.0
26.4603,90.6464,2026-08-24,16.9,2.08,2.45,0.56,0,Bongaigaon,Assam,Bongaigaon (Western Corridor),58.0
25.8333,93.4333,2026-08-24,12.0,1.76,1.92,0.57,0,Karbi Anglong,Assam,Diphu (Karbi Anglong Hill Corridor),176.0
26.6338,92.8006,2026-08-24,15.4,0.58,1.82,0.61,0,Sonitpur,Assam,Tezpur (Sonitpur Transit Hub),76.0
25.1812,93.0175,2026-08-24,9.5,7.86,1.97,0.62,0,Dima Hasao,Assam,Haflong (Dima Hasao Landslide Pass),581.0
25.5788,91.8933,2026-08-24,11.4,3.53,1.33,0.63,0,East Khasi Hills,Meghalaya,Shillong (NH-6 Hill Corridor),1444.0
25.45,92.2,2026-08-24,14.7,1.32,1.36,0.67,0,West Jaintia Hills,Meghalaya,Jowai (NH-6 Coal Belt Transit),1387.0
25.5144,90.2032,2026-08-24,4.1,4.84,1.3,0.66,0,West Garo Hills,Meghalaya,Tura (Garo Hills Arterial),294.0
27.0844,93.6053,2026-08-24,1.3,5.19,2.18,0.52,0,Papum Pare,Arunachal Pradesh,Itanagar (NH-415 Gateway),295.0
28.0667,95.3333,2026-08-24,9.1,0.58,1.62,0.55,0,East Siang,Arunachal Pradesh,Pasighat (Siang River Corridor),159.0
25.6751,94.1086,2026-08-24,13.8,15.35,1.52,0.67,0,Kohima,Nagaland,Kohima (NH-2 Mountain Pass),1464.0
25.909,93.7266,2026-08-24,21.2,0.29,2.0,0.66,0,Dimapur,Nagaland,Dimapur (Nagaland Rail-Road Hub),154.0
24.817,93.9368,2026-08-24,6.6,0.89,1.36,0.51,0,Imphal West,Manipur,Imphal (NH-37 / NH-2 Valley Corridor),782.0
23.7271,92.7176,2026-08-24,5.6,30.05,1.74,0.54,0,Aizawl,Mizoram,Aizawl (NH-306 Hill Lifeline),1087.0
23.8315,91.2868,2026-08-24,1.6,0.62,1.46,0.56,0,West Tripura,Tripura,Agartala (NH-8 Plain Corridor),15.0
27.3389,88.6065,2026-08-24,3.4,18.99,1.78,0.65,0,East Sikkim,Sikkim,Gangtok (NH-10 Landslide Highway),1530.0
